id	selfId	parentId	rootId	matchDate	score
1	SXT1001		SXT1001	2026/4/1 0:00:01.000	100
2	SXT1002	SXT1001	SXT1001	2026/4/1 0:00:02.000	0.85
3	SXT1003	SXT1002	SXT1001	2026/4/1 0:00:03.000	0.9
4	SXT1004		SXT1004	2026/4/1 0:00:04.000	100
5	SXT1005	SXT1004	SXT1004	2026/4/1 0:00:05.000	0.88
6	SXT1006		SXT1006	2026/4/2 0:00:01.000	100
7	SXT1007		SXT1007	2026/4/2 0:00:02.000	100
8	SXT1008	SXT1007	SXT1007	2026/4/2 0:00:03.000	0.82
9	SXT1009	SXT1003	SXT1001	2026/4/2 0:00:04.000	0.96
10	SXT10010	SXT1006	SXT1006	2026/4/2 0:00:05.000	0.96
